"event","quarter","bin","time","resolution","realization","binL","binH","binValue","grpd_event_time_bin","pAgg","dataSet"
2011,3,3,2009.625,1,8.93333333333333,9.5,10,9.75,113,0.14328,"PRUNEMP"
2011,3,4,2009.625,1,8.93333333333333,9,9.5,9.25,114,0.1882,"PRUNEMP"
2011,3,5,2009.625,1,8.93333333333333,8.5,9,8.75,115,0.15428,"PRUNEMP"
2011,3,6,2009.625,1,8.93333333333333,8,8.5,8.25,116,0.16868,"PRUNEMP"
2011,3,7,2009.625,1,8.93333333333333,7.5,8,7.75,117,0.14232,"PRUNEMP"
2011,3,8,2009.625,1,8.93333333333333,7,7.5,7.25,118,0.07308,"PRUNEMP"
2011,3,9,2009.625,1,8.93333333333333,6,7,6.5,119,0.03388,"PRUNEMP"
2011,3,10,2009.625,1,8.93333333333333,-1000,6,5,120,0.0216,"PRUNEMP"
2011,4,1,2009.875,1,8.93333333333333,11,1000,12,121,0.02234375,"PRUNEMP"
2011,4,2,2009.875,1,8.93333333333333,10,11,10.5,122,0.09984375,"PRUNEMP"
2011,4,3,2009.875,1,8.93333333333333,9.5,10,9.75,123,0.2,"PRUNEMP"
2011,4,4,2009.875,1,8.93333333333333,9,9.5,9.25,124,0.2478125,"PRUNEMP"
2011,4,5,2009.875,1,8.93333333333333,8.5,9,8.75,125,0.235,"PRUNEMP"
2011,4,6,2009.875,1,8.93333333333333,8,8.5,8.25,126,0.1265625,"PRUNEMP"
2011,4,7,2009.875,1,8.93333333333333,7.5,8,7.75,127,0.0334375,"PRUNEMP"
2011,4,8,2009.875,1,8.93333333333333,7,7.5,7.25,128,0.0075,"PRUNEMP"
2011,4,9,2009.875,1,8.93333333333333,6,7,6.5,129,0.01484375,"PRUNEMP"
2011,4,10,2009.875,1,8.93333333333333,-1000,6,5,130,0.01265625,"PRUNEMP"
2011,1,1,2010.125,1,8.93333333333333,11,1000,12,131,0.0161538461538462,"PRUNEMP"
2011,1,2,2010.125,1,8.93333333333333,10,11,10.5,132,0.0719230769230769,"PRUNEMP"
2011,1,3,2010.125,1,8.93333333333333,9.5,10,9.75,133,0.251282051282051,"PRUNEMP"
2011,1,4,2010.125,1,8.93333333333333,9,9.5,9.25,134,0.294358974358974,"PRUNEMP"
2011,1,5,2010.125,1,8.93333333333333,8.5,9,8.75,135,0.196666666666667,"PRUNEMP"
2011,1,6,2010.125,1,8.93333333333333,8,8.5,8.25,136,0.103333333333333,"PRUNEMP"
2011,1,7,2010.125,1,8.93333333333333,7.5,8,7.75,137,0.0312820512820513,"PRUNEMP"
2011,1,8,2010.125,1,8.93333333333333,7,7.5,7.25,138,0.0117948717948718,"PRUNEMP"
2011,1,9,2010.125,1,8.93333333333333,6,7,6.5,139,0.0138461538461539,"PRUNEMP"
2011,1,10,2010.125,1,8.93333333333333,-1000,6,5,140,0.00935897435897435,"PRUNEMP"
2011,2,1,2010.375,1,8.93333333333333,11,1000,12,141,0.00905405405405406,"PRUNEMP"
2011,2,2,2010.375,1,8.93333333333333,10,11,10.5,142,0.0345945945945946,"PRUNEMP"
