"event","time","p","resolution","quarter","bin","Year","Quarter","realization","grpd_time_event"
1979,1978.375,0.170714285714286,1,2,1,NA,NA,NA,198
1979,1978.625,0.123333333333333,1,3,1,NA,NA,NA,202
1979,1978.875,0.0978571428571429,1,4,1,NA,NA,NA,206
1979.25,1978.125,0.262173913043478,1,1,1,NA,NA,NA,195
1979.25,1978.375,0.255172413793103,1,2,1,NA,NA,NA,199
1979.25,1978.625,0.24037037037037,1,3,1,NA,NA,NA,203
1979.25,1978.875,0.248,1,4,1,NA,NA,NA,207
1979.25,1979.125,0.186818181818182,1,1,1,NA,NA,NA,211
1979.5,1978.375,0.312666666666667,1,2,1,NA,NA,NA,200
1979.5,1978.625,0.306153846153846,1,3,1,NA,NA,NA,204
1979.5,1978.875,0.373076923076923,1,4,1,NA,NA,NA,208
1979.5,1979.125,0.278965517241379,1,1,1,NA,NA,NA,212
1979.5,1979.375,0.236071428571429,1,2,1,NA,NA,NA,216
1979.75,1978.625,0.326923076923077,1,3,1,NA,NA,NA,205
1979.75,1978.875,0.412,1,4,1,NA,NA,NA,209
1979.75,1979.125,0.441290322580645,1,1,1,NA,NA,NA,213
1979.75,1979.375,0.41969696969697,1,2,1,NA,NA,NA,217
1979.75,1979.625,0.702352941176471,1,3,1,NA,NA,NA,221
1980,1978.875,0.3868,1,4,1,NA,NA,NA,210
1980,1979.125,0.424137931034483,1,1,1,NA,NA,NA,214
1980,1979.375,0.4978125,1,2,1,NA,NA,NA,218
1980,1979.625,0.672424242424242,1,3,1,NA,NA,NA,222
1980,1979.875,0.654193548387097,1,4,1,NA,NA,NA,226
1980.25,1979.125,0.354137931034483,1,1,1,NA,NA,NA,215
1980.25,1979.375,0.3971875,1,2,1,NA,NA,NA,219
1980.25,1979.625,0.525757575757576,1,3,1,NA,NA,NA,223
1980.25,1979.875,0.70125,1,4,1,NA,NA,NA,227
1980.25,1980.125,0.38,1,1,1,NA,NA,NA,231
1980.5,1979.375,0.29258064516129,1,2,1,1980,2,1,220
1980.5,1979.625,0.295454545454545,1,3,1,1980,2,1,224
1980.5,1979.875,0.588,1,4,1,1980,2,1,228
1980.5,1980.125,0.525,1,1,1,1980,2,1,232
1980.5,1980.375,0.866666666666667,1,2,1,1980,2,1,236
1980.5,1980.499,1,2,5,1,1980,2,1,241
1980.75,1979.625,0.191785714285714,1,3,1,1980,3,1,225
1980.75,1979.875,0.339655172413793,1,4,1,1980,3,1,229
1980.75,1980.125,0.533846153846154,1,1,1,1980,3,1,233
1980.75,1980.375,0.722592592592593,1,2,1,1980,3,1,237
1980.75,1980.625,0.75,1,3,1,1980,3,1,242
1980.75,1980.749,1,2,5,1,1980,3,1,247
1981,1979.875,0.188571428571429,1,4,1,NA,NA,NA,230
1981,1980.125,0.3896,1,1,1,NA,NA,NA,234
1981,1980.375,0.549259259259259,1,2,1,NA,NA,NA,238
1981,1980.625,0.521739130434783,1,3,1,NA,NA,NA,243
1981,1980.875,0.277307692307692,1,4,1,NA,NA,NA,248
1981.25,1980.125,0.3136,1,1,1,NA,NA,NA,235
1981.25,1980.375,0.346296296296296,1,2,1,NA,NA,NA,239
1981.25,1980.625,0.347727272727273,1,3,1,NA,NA,NA,244
1981.25,1980.875,0.391071428571429,1,4,1,NA,NA,NA,249
1981.25,1981.125,0.278666666666667,1,1,1,NA,NA,NA,253
1981.5,1980.375,0.241153846153846,1,2,1,1981,2,1,240
1981.5,1980.625,0.195454545454545,1,3,1,1981,2,1,245
1981.5,1980.875,0.261851851851852,1,4,1,1981,2,1,250
1981.5,1981.125,0.343823529411765,1,1,1,1981,2,1,254
1981.5,1981.375,0.381470588235294,1,2,1,1981,2,1,258
1981.5,1981.499,1,2,5,1,1981,2,1,263
1981.75,1980.625,0.127777777777778,1,3,1,NA,NA,NA,246
1981.75,1980.875,0.174,1,4,1,NA,NA,NA,251
1981.75,1981.125,0.204333333333333,1,1,1,NA,NA,NA,255
1981.75,1981.375,0.239090909090909,1,2,1,NA,NA,NA,259
1981.75,1981.625,0.6184375,1,3,1,NA,NA,NA,264
1982,1980.875,0.170434782608696,1,4,1,1981,4,1,252
1982,1981.125,0.138888888888889,1,1,1,1981,4,1,256
1982,1981.375,0.170714285714286,1,2,1,1981,4,1,260
1982,1981.625,0.351785714285714,1,3,1,1981,4,1,265
1982,1981.875,0.854444444444444,1,4,1,1981,4,1,269
1982,1981.999,1,2,5,1,1981,4,1,274
1982.25,1981.125,0.1176,1,1,1,1982,1,1,257
1982.25,1981.375,0.151785714285714,1,2,1,1982,1,1,261
1982.25,1981.625,0.255555555555556,1,3,1,1982,1,1,266
1982.25,1981.875,0.581111111111111,1,4,1,1982,1,1,270
1982.25,1982.125,0.860571428571429,1,1,1,1982,1,1,275
1982.25,1982.249,1,2,5,1,1982,1,1,280
1982.5,1981.375,0.167142857142857,1,2,1,NA,NA,NA,262
1982.5,1981.625,0.219642857142857,1,3,1,NA,NA,NA,267
1982.5,1981.875,0.342857142857143,1,4,1,NA,NA,NA,271
1982.5,1982.125,0.448484848484848,1,1,1,NA,NA,NA,276
1982.5,1982.375,0.576666666666667,1,2,1,NA,NA,NA,281
1982.75,1981.625,0.177777777777778,1,3,1,1982,3,1,268
1982.75,1981.875,0.197297297297297,1,4,1,1982,3,1,272
1982.75,1982.125,0.21875,1,1,1,1982,3,1,277
1982.75,1982.375,0.2975,1,2,1,1982,3,1,282
1982.75,1982.625,0.295714285714286,1,3,1,1982,3,1,286
1982.75,1982.749,1,2,5,1,1982,3,1,291
1983,1981.875,0.152857142857143,1,4,1,NA,NA,NA,273
1983,1982.125,0.201666666666667,1,1,1,NA,NA,NA,278
1983,1982.375,0.173055555555556,1,2,1,NA,NA,NA,283
1983,1982.625,0.301463414634146,1,3,1,NA,NA,NA,287
1983,1982.875,0.374545454545455,1,4,1,NA,NA,NA,292
1983.25,1982.125,0.214137931034483,1,1,1,NA,NA,NA,279
1983.25,1982.375,0.223888888888889,1,2,1,NA,NA,NA,284
1983.25,1982.625,0.212972972972973,1,3,1,NA,NA,NA,288
1983.25,1982.875,0.383783783783784,1,4,1,NA,NA,NA,293
1983.25,1983.125,0.1628,1,1,1,NA,NA,NA,297
1983.5,1982.375,0.250277777777778,1,2,1,NA,NA,NA,285
1983.5,1982.625,0.215135135135135,1,3,1,NA,NA,NA,289
1983.5,1982.875,0.281944444444444,1,4,1,NA,NA,NA,294
1983.5,1983.125,0.160322580645161,1,1,1,NA,NA,NA,298
1983.5,1983.375,0.0992307692307692,1,2,1,NA,NA,NA,302
1983.75,1982.625,0.208918918918919,1,3,1,NA,NA,NA,290
1983.75,1982.875,0.208285714285714,1,4,1,NA,NA,NA,295
1983.75,1983.125,0.1575,1,1,1,NA,NA,NA,299
1983.75,1983.375,0.0917857142857143,1,2,1,NA,NA,NA,303
1983.75,1983.625,0.0766666666666667,1,3,1,NA,NA,NA,307
1984,1982.875,0.187941176470588,1,4,1,NA,NA,NA,296
1984,1983.125,0.1628125,1,1,1,NA,NA,NA,300
1984,1983.375,0.108484848484848,1,2,1,NA,NA,NA,304
1984,1983.625,0.101,1,3,1,NA,NA,NA,308
1984,1983.875,0.07,1,4,1,NA,NA,NA,312
1984.25,1983.125,0.163125,1,1,1,NA,NA,NA,301
1984.25,1983.375,0.142352941176471,1,2,1,NA,NA,NA,305
1984.25,1983.625,0.174074074074074,1,3,1,NA,NA,NA,309
1984.25,1983.875,0.103571428571429,1,4,1,NA,NA,NA,313
1984.25,1984.125,0.0584615384615385,1,1,1,NA,NA,NA,317
1984.5,1983.375,0.151818181818182,1,2,1,NA,NA,NA,306
1984.5,1983.625,0.195185185185185,1,3,1,NA,NA,NA,310
1984.5,1983.875,0.123529411764706,1,4,1,NA,NA,NA,314
1984.5,1984.125,0.100434782608696,1,1,1,NA,NA,NA,318
1984.5,1984.375,0.0826666666666667,1,2,1,NA,NA,NA,322
1984.75,1983.625,0.196153846153846,1,3,1,NA,NA,NA,311
1984.75,1983.875,0.148181818181818,1,4,1,NA,NA,NA,315
1984.75,1984.125,0.148333333333333,1,1,1,NA,NA,NA,319
1984.75,1984.375,0.11625,1,2,1,NA,NA,NA,323
1984.75,1984.625,0.0775,1,3,1,NA,NA,NA,327
1985,1983.875,0.179117647058824,1,4,1,NA,NA,NA,316
1985,1984.125,0.198461538461538,1,1,1,NA,NA,NA,320
1985,1984.375,0.161851851851852,1,2,1,NA,NA,NA,324
1985,1984.625,0.146875,1,3,1,NA,NA,NA,328
1985,1984.875,0.238695652173913,1,4,1,NA,NA,NA,332
1985.25,1984.125,0.2356,1,1,1,NA,NA,NA,321
1985.25,1984.375,0.228333333333333,1,2,1,NA,NA,NA,325
1985.25,1984.625,0.15625,1,3,1,NA,NA,NA,329
1985.25,1984.875,0.233076923076923,1,4,1,NA,NA,NA,333
1985.25,1985.125,0.0766666666666667,1,1,1,NA,NA,NA,337
1985.5,1984.375,0.308333333333333,1,2,1,NA,NA,NA,326
1985.5,1984.625,0.205555555555556,1,3,1,NA,NA,NA,330
1985.5,1984.875,0.194444444444444,1,4,1,NA,NA,NA,334
1985.5,1985.125,0.099,1,1,1,NA,NA,NA,338
1985.5,1985.375,0.141052631578947,1,2,1,NA,NA,NA,342
1985.75,1984.625,0.3,1,3,1,NA,NA,NA,331
1985.75,1984.875,0.197037037037037,1,4,1,NA,NA,NA,335
1985.75,1985.125,0.133333333333333,1,1,1,NA,NA,NA,339
1985.75,1985.375,0.158695652173913,1,2,1,NA,NA,NA,343
1985.75,1985.625,0.137391304347826,1,3,1,NA,NA,NA,347
1986,1984.875,0.216666666666667,1,4,1,NA,NA,NA,336
1986,1985.125,0.17952380952381,1,1,1,NA,NA,NA,340
1986,1985.375,0.187391304347826,1,2,1,NA,NA,NA,344
1986,1985.625,0.157692307692308,1,3,1,NA,NA,NA,348
1986,1985.875,0.104666666666667,1,4,1,NA,NA,NA,352
1986.25,1985.125,0.22,1,1,1,NA,NA,NA,341
1986.25,1985.375,0.226923076923077,1,2,1,NA,NA,NA,345
1986.25,1985.625,0.201538461538462,1,3,1,NA,NA,NA,349
1986.25,1985.875,0.1635,1,4,1,NA,NA,NA,353
1986.25,1986.125,0.120833333333333,1,1,1,NA,NA,NA,357
1986.5,1985.375,0.282692307692308,1,2,1,NA,NA,NA,346
1986.5,1985.625,0.241153846153846,1,3,1,NA,NA,NA,350
1986.5,1985.875,0.191818181818182,1,4,1,NA,NA,NA,354
1986.5,1986.125,0.151111111111111,1,1,1,NA,NA,NA,358
1986.5,1986.375,0.200666666666667,1,2,1,NA,NA,NA,362
