"event","quarter","time","resolution","realization","grpd_event_time_bin","dataSet","grpd_time_event","EV","VarPredictedAgg","sqDevFromRealizationAgg","errorAgg","perc_errorAgg","avg_disagreementEV"
1986,4,1985.875,1,2,856,"PRPGDP",76,4.03652173913043,2.44910094517958,4.14742079395085,1.69831984877127,0.693446242840241,0.652613988657845
1986,1,1986.125,1,2,862,"PRPGDP",77,2.81666666666667,1.36638888888889,0.666944444444444,-0.699444444444445,-0.511892661109982,0.867222222222222
1986,2,1986.375,1,2,868,"PRPGDP",79,3.15461538461538,1.49455562130178,1.33313668639053,-0.161418934911244,-0.108004635364889,0.563186390532544
1986,3,1986.625,1,2,874,"PRPGDP",81,2.94095238095238,1.26508480725624,0.885391383219956,-0.37969342403628,-0.300132783081771,0.365770521541951
1986,4,1986.875,1,2,880,"PRPGDP",83,3.42130434782609,1.36976583060738,2.02010604914934,0.65034021854196,0.474782042309806,0.93972438563327
1987,1,1986.125,1,2.5,886,"PRPGDP",78,3.55208333333333,2.79504453305845,1.10687934027778,-1.68816519278067,-0.603985078882952,1.16360815972222
1987,2,1986.375,1,2.5,892,"PRPGDP",80,3.97307692307692,2.52850591715976,2.16995562130177,-0.358550295857989,-0.141803225938559,0.790244378698225
1987,3,1986.625,1,2.5,898,"PRPGDP",82,3.31714285714286,2.28227755102041,0.667722448979592,-1.61455510204082,-0.70743153098051,0.600353741496599
1987,4,1986.875,1,2.5,904,"PRPGDP",84,3.52608695652174,1.97192816635161,1.05285444234405,-0.919073724007562,-0.46607870392561,0.804502079395085
1987,1,1987.125,1,2.5,910,"PRPGDP",85,3.26736842105263,2.51798781163435,0.588854293628809,-1.92913351800554,-0.766140927724904,0.95895623268698
1987,2,1987.375,1,2.5,916,"PRPGDP",87,3.49461538461538,1.67381715976331,0.989259763313609,-0.684557396449705,-0.408979793555531,0.409432544378698
1987,3,1987.625,1,2.5,922,"PRPGDP",89,3.54,1.5564,1.0816,-0.474800000000001,-0.305062965818556,0.53604
1987,4,1987.875,1,2.5,928,"PRPGDP",91,3.05944444444444,0.849999802640603,0.312978086419753,-0.53702171622085,-0.631790401071321,0.303294135802469
1988,1,1987.125,1,3.5,934,"PRPGDP",86,3.72631578947368,4.13772853185596,0.051218836565097,-4.08650969529086,-0.987621508716493,1.88113905817175
1988,2,1987.375,1,3.5,940,"PRPGDP",88,4.27230769230769,2.79969467455621,0.596459171597632,-2.20323550295858,-0.786955635906198,0.838310059171598
1988,3,1987.625,1,3.5,946,"PRPGDP",90,4.579,2.332759,1.164241,-1.168518,-0.50091672564547,0.374859
1988,4,1987.875,1,3.5,952,"PRPGDP",92,3.58888888888889,1.83543209876543,0.00790123456790126,-1.82753086419753,-0.995695163785565,0.470987654320988
1988,1,1988.125,1,3.5,958,"PRPGDP",93,3.64117647058824,2.18889273356401,0.0199307958477508,-2.16896193771626,-0.990894576265828,0.64242214532872
1988,2,1988.375,1,3.5,964,"PRPGDP",95,3.3475,1.95424375,0.0232562500000002,-1.9309875,-0.988099616539646,0.27884375
1988,3,1988.625,1,3.5,970,"PRPGDP",97,3.51125,2.2161234375,0.00012656250000001,-2.215996875,-0.999942890139665,0.8268984375
1988,4,1988.875,1,3.5,976,"PRPGDP",99,3.42230769230769,1.18066558989531,0.00603609467455618,-1.17462949522076,-0.994887549255085,0.470586982248521
1989,1,1988.125,1,3.9,982,"PRPGDP",94,4.14117647058823,3.02712802768166,0.0581660899653977,-2.96896193771626,-0.980785057839148,0.781245674740484
1989,2,1988.375,1,3.9,988,"PRPGDP",96,4.0875,3.31734375,0.0351562500000002,-3.2821875,-0.989402289105553,0.89359375
1989,3,1988.625,1,3.9,994,"PRPGDP",98,4.6625,2.86609375,0.58140625,-2.2846875,-0.797143324428938,0.34479375
1989,4,1988.875,1,3.9,1000,"PRPGDP",100,4.68769230769231,2.10861775147929,0.620459171597634,-1.48815857988166,-0.705750759632772,0.354248520710059
1989,1,1989.125,1,3.9,1006,"PRPGDP",101,4.82125,1.8405484375,0.8487015625,-0.991846875,-0.538886592056885,0.3165234375
1989,2,1989.375,1,3.9,1012,"PRPGDP",103,4.94117647058824,1.54948096885813,1.08404844290658,-0.465432525951556,-0.300379633765073,0.160069204152249
1989,3,1989.625,1,3.9,1018,"PRPGDP",105,4.86,1.1004,0.921599999999999,-0.178800000000001,-0.16248636859324,0.0982857142857144
1989,4,1989.875,1,3.9,1024,"PRPGDP",107,4.75,1.02607142857143,0.722499999999999,-0.30357142857143,-0.295857988165682,0.147014285714286
1990,1,1989.125,1,3.8,1030,"PRPGDP",102,4.73125,2.4052734375,0.867226562499999,-1.538046875,-0.639447827852213,0.3983984375
1990,2,1989.375,1,3.8,1036,"PRPGDP",104,5.02941176470588,2.34031141868512,1.51145328719723,-0.828858131487889,-0.354165742588896,0.417370242214533
1990,3,1989.625,1,3.8,1042,"PRPGDP",106,4.65428571428571,2.48048163265306,0.729804081632653,-1.75067755102041,-0.70578129987922,0.565738775510204
1990,4,1989.875,1,3.8,1048,"PRPGDP",108,4.09066666666667,2.25044622222222,0.0844871111111116,-2.16595911111111,-0.962457618281727,0.683246222222223
1990,1,1990.125,1,3.8,1054,"PRPGDP",109,4.23428571428571,2.24225306122449,0.188604081632654,-2.05364897959184,-0.915886353376341,0.634710204081633
1990,2,1990.375,1,3.8,1060,"PRPGDP",111,4.98571428571429,0.94265306122449,1.40591836734694,0.463265306122449,0.491448365447067,0.258367346938775
1990,3,1990.625,1,3.8,1066,"PRPGDP",113,5.04923076923077,1.24065325443787,1.5605775147929,0.31992426035503,0.257867586459511,0.474007100591716
1990,4,1990.875,1,3.8,1072,"PRPGDP",115,4.77733333333333,0.913086222222222,0.955180444444446,0.0420942222222235,0.0461010375556612,0.237592888888889
1991,1,1990.125,1,3.4,1078,"PRPGDP",110,4.37857142857143,2.48525510204082,0.957602040816327,-1.52765306122449,-0.614686621091745,0.720255102040816
1991,2,1990.375,1,3.4,1084,"PRPGDP",112,4.72857142857143,3.09775510204082,1.76510204081633,-1.33265306122449,-0.430199617893142,1.63632653061224
1991,3,1990.625,1,3.4,1090,"PRPGDP",114,4.92846153846154,2.17180532544379,2.33619467455621,0.164389349112428,0.0756924882661094,0.668028402366864
1991,4,1990.875,1,3.4,1096,"PRPGDP",116,4.39733333333333,2.10879288888889,0.994673777777779,-1.11411911111111,-0.528320783411847,0.438979555555555
1991,1,1991.125,1,3.4,1102,"PRPGDP",117,3.98529411764706,2.08213667820069,0.34256920415225,-1.73956747404844,-0.835472278194395,0.241983737024221
1991,2,1991.375,1,3.4,1108,"PRPGDP",118,4.0045,1.94997975,0.365420249999999,-1.5845595,-0.812603053954791,0.45628975
1991,3,1991.625,1,3.4,1114,"PRPGDP",119,3.75571428571429,1.53746734693878,0.126532653061224,-1.41093469387755,-0.917700591617011,0.22615306122449
1991,4,1991.875,1,3.4,1120,"PRPGDP",120,3.62114285714286,1.19932440816327,0.0489041632653063,-1.15042024489796,-0.959223573761663,0.266512979591837
1992,1,1992.125,1,2.3,1126,"PRPGDP",121,2.96180555555556,0.919582851080247,0.437986593364197,-0.481596257716049,-0.523711655943031,0.261314101080247
1992,2,1992.375,1,2.3,1136,"PRPGDP",123,2.93986111111111,0.785480536265432,0.409422241512346,-0.376058294753086,-0.478762079250309,0.135497897376543
1992,3,1992.625,1,2.3,1146,"PRPGDP",125,2.77802717647059,0.604067029777915,0.228509981444443,-0.375557048333472,-0.621714196968415,0.162842644137204
1992,4,1992.875,1,2.3,1156,"PRPGDP",127,2.63345945945946,0.329603983963201,0.111195211102995,-0.218408772860206,-0.662639966404624,0.0587508429510592
1993,1,1992.125,1,2.4,1166,"PRPGDP",122,3.31871428571429,1.04606406122449,0.844035938775511,-0.202028122448979,-0.193131692348259,0.219324775510204
1993,2,1992.375,1,2.4,1176,"PRPGDP",124,3.43291666666667,1.26459704861111,1.06691684027778,-0.197680208333333,-0.156318732951688,0.3950546875
1993,3,1992.625,1,2.4,1186,"PRPGDP",126,3.11558752941176,1.03856401848315,0.512065512249633,-0.526498506233521,-0.506948533613252,0.305848868943778
1993,4,1992.875,1,2.4,1196,"PRPGDP",128,2.92087755405405,1.05323189609673,0.271313426317334,-0.781918469779392,-0.742399155093175,0.327694153281456
1993,1,1993.125,1,2.4,1206,"PRPGDP",129,2.99402935483871,1.13981672932424,0.352870874410094,-0.78694585491415,-0.690414375108094,0.63129193230281
1993,2,1993.375,1,2.4,1216,"PRPGDP",131,3.07491151428571,0.81127272294891,0.455505552115436,-0.355767170833474,-0.438529684001071,0.264958197639107
1993,3,1993.625,1,2.4,1226,"PRPGDP",133,2.74648246774194,0.604358554908069,0.120050100452542,-0.484308454455528,-0.801359475302202,0.192579844705273
1993,4,1993.875,1,2.4,1236,"PRPGDP",135,2.71296875,0.390972436523437,0.0979494384765625,-0.293022998046875,-0.749472266261177,0.190132592773437
1994,1,1993.125,1,2.1,1246,"PRPGDP",130,3.29181506451613,1.37071600067976,1.42042314800759,0.0497071473278254,0.036263636889899,0.674156469904964
1994,2,1993.375,1,2.1,1256,"PRPGDP",132,3.40746894117647,1.1796584379503,1.70947503214112,0.529816594190821,0.449127117770969,0.302840538304055
1994,3,1993.625,1,2.1,1266,"PRPGDP",134,2.95654619354839,0.780708547738109,0.73367138168223,-0.0470371660558789,-0.0602493288848397,0.182698396273382
1994,4,1993.875,1,2.1,1276,"PRPGDP",136,2.958091421875,0.876429733207992,0.736320888295459,-0.140108844912534,-0.159863180816212,0.332630531221736
