"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
27,0.165536116685606,0.29225626967803,-0.126720152992424,0.132257788861341,2010.375,2010,1.28242348484848,0.132128630864406,1.1,"PRCPCE"
28,0.340340555441177,0.380321258284314,-0.0399807028431372,0.285871859930796,2010.375,2011,1.56661470588235,0.285609351335818,1.8,"PRCPCE"
29,0.126910578942308,0.253687914647436,-0.126777335705128,0.124787318879438,2010.625,2010,1.14607884615385,0.124587659169231,1.1,"PRCPCE"
30,0.305587264326923,0.352497767724359,-0.0469105033974359,0.186040212370562,2010.625,2011,1.45424423076923,0.185742548030769,1.8,"PRCPCE"
31,0.102907419527027,0.223296612004505,-0.120389192477477,0.0994688650182615,2010.875,2010,1.15863918918919,0.0993921143508091,1.1,"PRCPCE"
32,0.400892555625,0.371977374930556,0.0289151806944445,0.232677508169367,2010.875,2011,1.38985972222222,0.232487567346372,1.8,"PRCPCE"
33,0.398434318484849,0.33435553,0.0640787884848485,0.143565385509642,2011.125,2011,1.29515454545455,0.143425184937855,1.8,"PRCPCE"
34,0.2626181559375,0.350966635729167,-0.0883484797916667,0.231781698427734,2011.125,2012,1.624396875,0.231540510396072,1.8,"PRCPCE"
35,0.1385603425,0.302889449166667,-0.164329106666667,0.097887536875,2011.375,2011,1.598325,0.0977856767950052,1.8,"PRCPCE"
36,0.1836815546875,0.383547611979167,-0.199866057291667,0.181666386474609,2011.375,2012,1.755109375,0.18147734757089,1.8,"PRCPCE"
37,0.162323598362069,0.283822982097701,-0.121499383735632,0.162302263519619,2011.625,2011,1.80461896551724,0.162095245326355,1.8,"PRCPCE"
38,0.200184757232143,0.380047713005952,-0.17986295577381,0.199837933121811,2011.625,2012,1.81862321428571,0.199563807013276,1.8,"PRCPCE"
39,0.0965100846794872,0.154267287115385,-0.0577572024358975,0.0826830383925049,2011.875,2011,1.91758846153846,0.0826257786706265,1.8,"PRCPCE"
40,0.199198181184211,0.350272038114035,-0.151073856929825,0.199152476468144,2011.875,2012,1.80676052631579,0.19900700351236,1.8,"PRCPCE"
41,0.183099496527778,0.360872725694444,-0.177773229166667,0.178224741705247,2012.125,2012,1.86981944444444,0.178079252120181,1.8,"PRCPCE"
42,0.395359100075758,0.4028091575,-0.00745005742424248,0.198127561230487,2012.125,2013,2.04410757575758,0.197934077283973,1.6,"PRCPCE"
43,0.0967555678225806,0.243864566586022,-0.147108998763441,0.0675967003902185,2012.375,2012,1.97075967741935,0.0675215929453405,1.8,"PRCPCE"
44,0.283380244083333,0.34271333925,-0.0593330951666668,0.112090487613889,2012.375,2013,2.01387166666667,0.111957205226714,1.6,"PRCPCE"
45,0.08424837378125,0.267455042885417,-0.183206669104167,0.0647319345296875,2012.625,2012,1.93970125,0.0646893757298652,1.8,"PRCPCE"
46,0.216403129358552,0.376111662308114,-0.159708532949562,0.0932792449190616,2012.625,2013,1.95089013157895,0.0932111081441025,1.6,"PRCPCE"
47,0.0546878229595588,0.150910498118873,-0.0962226751593137,0.0511101118820286,2012.875,2012,1.85981397058824,0.0510631788132663,1.8,"PRCPCE"
48,0.234235748787879,0.266130311818182,-0.0318945630303031,0.117269676051423,2012.875,2013,1.94200303030303,0.117155154883404,1.6,"PRCPCE"
49,0.160276283700658,0.228638836913377,-0.0683625532127194,0.101059942941915,2013.125,2013,1.84334407894737,0.1009861226768,1.6,"PRCPCE"
50,0.304258358072917,0.291023759982639,0.0132345980902778,0.0952855689019097,2013.125,2014,1.95713541666667,0.0952077847640306,1.5,"PRCPCE"
51,0.0779980414705882,0.206636125196078,-0.12863808372549,0.0726221328114187,2013.375,2013,1.67332058823529,0.0725554458207746,1.6,"PRCPCE"
52,0.247857486470588,0.306756239019608,-0.0588987525490196,0.0917209371280277,2013.375,2014,1.89514117647059,0.0916367122087182,1.5,"PRCPCE"
53,0.110886269214286,0.246218397452381,-0.135332128238095,0.106958024053061,2013.625,2013,1.53732428571429,0.106865499810801,1.6,"PRCPCE"
54,0.192762011142857,0.319276084095238,-0.126514072952381,0.0921226063346939,2013.625,2014,1.81723714285714,0.0920429154987642,1.5,"PRCPCE"
55,0.130269140625,0.198846137152778,-0.0685769965277778,0.09251179296875,2013.875,2013,1.4056875,0.0924362731377551,1.6,"PRCPCE"
56,0.18527049,0.282945482222222,-0.0976749922222222,0.113776643055556,2013.875,2014,1.76738333333333,0.113683764163265,1.5,"PRCPCE"
57,0.174344765987212,0.270729686592118,-0.0963849206049062,0.116705554052819,2014.125,2014,1.74008167763158,0.116620305291641,1.5,"PRCPCE"
58,0.68321226126673,0.331128074994532,0.352084186272198,0.115982916134101,2014.125,2015,1.8531462972973,0.115893423143257,1.1,"PRCPCE"
59,0.107709620131579,0.256039612324561,-0.148329992192982,0.0767169442036011,2014.375,2014,1.67604736842105,0.0766609055299681,1.5,"PRCPCE"
60,0.656356726052632,0.35322020377193,0.303136522280702,0.0821397578462604,2014.375,2015,1.85777105263158,0.0820797580231441,1.1,"PRCPCE"
61,0.141585196180556,0.225664109375,-0.0840789131944445,0.0490475523787447,2014.625,2014,1.80425487465181,0.0490073083221662,1.5,"PRCPCE"
62,0.715121494864865,0.328559225855856,0.386562269009009,0.0506365505186268,2014.625,2015,1.91515945945946,0.0505974791061895,1.1,"PRCPCE"
63,0.06302034796875,0.183502959322917,-0.120482611354167,0.0390379540625,2014.875,2014,1.6548625,0.0389973318418314,1.5,"PRCPCE"
64,0.658064853515625,0.325195172526042,0.332869680989583,0.0679648212280274,2014.875,2015,1.8681796875,0.0678940982090595,1.1,"PRCPCE"
65,0.358400322166667,0.352968761166667,0.00543156099999986,0.154542052122222,2015.125,2015,1.55150666666667,0.154358292250495,1.1,"PRCPCE"
66,0.075504,0.422497666666667,-0.346993666666667,0.0688399988888889,2015.125,2016,1.88163333333333,0.0687581439556084,1.8,"PRCPCE"
67,0.271541733325893,0.322390486912202,-0.0508487535863096,0.0983308872747448,2015.375,2015,1.51618607142857,0.098245825953573,1.1,"PRCPCE"
68,0.146279220909359,0.417684800507604,-0.271405579598245,0.146051290932336,2015.375,2016,1.81509735,0.145924948985163,1.8,"PRCPCE"
