"p","trueBinSmoothed","pAgg","trueBinSmoothedAgg"
0.022998,0.0435380325905095,NA,NA
0.532969,0.376441472784168,NA,NA
0.010999,0.0307810595117772,NA,NA
0.004,0.0237036229661788,NA,NA
0.065999,0.0926527869047582,NA,NA
0.110999,0.140228952679557,NA,NA
0.153999,0.177496949769691,NA,NA
0.175977,0.195714412402995,NA,NA
0.065,0.0915290883372548,NA,NA
0.128999,0.156204348536824,NA,NA
0.193984,0.209806381185957,NA,NA
0.215,0.224136985664214,NA,NA
0.178984,0.198145116754938,NA,NA
0.606,0.410637335308189,NA,NA
0.729,0.447832623566467,NA,NA
0.068,0.0949005674441946,NA,NA
0.894,0.554230497795418,NA,NA
0.063,0.0892765257137979,NA,NA
0.037,0.0593904199248159,NA,NA
0.706,0.44082878280613,NA,NA
0.908,0.564360089998788,NA,NA
0.016,0.0359940874503937,NA,NA
0.041,0.0640366799949737,NA,NA
0.094,0.123489908381737,NA,NA
0.177,0.196543875237761,NA,NA
0.243,0.240646064758553,NA,NA
0.213,0.222872172055516,NA,NA
0.125,0.152733262600049,NA,NA
0.086,0.114892447855995,NA,NA
0.394,0.327918796325455,NA,NA
0.038,0.0605493349521338,NA,NA
0.007,0.0267124117746259,NA,NA
0.092,0.121371883244193,NA,NA
0.357,0.309700227215239,NA,NA
0.131,0.157931424476424,NA,NA
0.011,0.0307820875282891,NA,NA
0.049,0.0733397783310311,NA,NA
0.266,0.253620992838483,NA,NA
0.186,0.203711863301849,NA,NA
0.023,0.0435402301356598,NA,NA
0.014,0.033891871442416,NA,NA
0.015,0.0349400409011717,NA,NA
0.975,0.60801490634994,NA,NA
0.020999,0.0413530947203652,NA,NA
0.102,0.13166055203439,NA,NA
0.315,0.283972269541396,NA,NA
0.077,0.104956371718563,NA,NA
0.017,0.0370540585935165,NA,NA
0.231992,0.23436896446058,NA,NA
0.953984,0.595374138340271,NA,NA
0.009,0.0287371729607862,NA,NA
0.102998,0.13264068513697,NA,NA
0.260977,0.250746353867594,NA,NA
0.207969,0.219612788927983,NA,NA
0.127,0.154472827565685,NA,NA
0.161992,0.184188536023171,NA,NA
0.833984,0.508772087168894,NA,NA
0.368984,0.316133834464402,NA,NA
0.630977,0.420857419369321,NA,NA
0.731992,0.448889197136841,NA,NA
0.603984,0.40976275811565,NA,NA
0.682969,0.435324938936552,NA,NA
0.211992,0.222228425938084,NA,NA
0.050999,0.0756443622258232,NA,NA
0.821992,0.499638587948997,NA,NA
0.943984,0.589022726798666,NA,NA
0.055999,0.0813566106357957,NA,NA
0.992969,0.618290928665488,NA,NA
0.537969,0.378950806852286,NA,NA
0.305977,0.278097273094066,NA,NA
0.587969,0.402712451097235,NA,NA
0.295,0.271068866522998,NA,NA
0.035,0.0570798495546117,NA,NA
0.903984,0.561477361456793,NA,NA
0.060999,0.0870188805633566,NA,NA
0.022,0.0424443010185303,NA,NA
0.935,0.58311432941892,NA,NA
0.042998,0.0663642787170895,NA,NA
0.995977,0.619986515549138,NA,NA
0.205977,0.218287538687133,NA,NA
