"grpd_time_event","mean_sqDevFromRealization","mean_VarPredicted","mean_error","mean_disagreementEV","mean_time","event","meanEV","mean_disagreementEVMinusPersoni","mean_realization","dataSet"
14,0.503836075778049,0.288835973245935,0.215000102532114,0.118203254759072,2008.625,2009,2.37121341463415,0.118129377724848,1.75022,"PRCCPI"
15,0.313126743995349,0.196155211724806,0.116971532270543,0.124945918131422,2008.875,2008,2.43330813953488,0.124875087112074,1.99951,"PRCCPI"
16,0.284047654213954,0.267110998062015,0.016936656151938,0.267038399134667,2008.875,2009,1.88063953488372,0.266887016822233,1.75022,"PRCCPI"
17,1.25811905629474,0.416874890350877,0.84124416594386,0.56316165166205,2009.125,2009,0.916578947368421,0.562750284495021,1.75022,"PRCCPI"
18,1.12119459156667,0.375205902777778,0.745988688788889,0.594986207561728,2009.125,2010,1.37097222222222,0.594500504535147,0.64557,"PRCCPI"
19,0.826044024352381,0.255719410714286,0.570324613638095,0.620473759778911,2009.375,2009,1.29682142857143,0.620104649868276,1.75022,"PRCCPI"
20,1.17027042929024,0.327116630081301,0.843153799208943,0.526376524390244,2009.375,2010,1.448,0.5260475390625,0.64557,"PRCCPI"
21,0.327563725986207,0.235493606321839,0.0920701196643679,0.254218385850178,2009.625,2009,1.47939655172414,0.253894127704961,1.75022,"PRCCPI"
22,1.21585436418571,0.307481845238095,0.908372518947619,0.263902901785714,2009.625,2010,1.62125,0.263540895061728,0.64557,"PRCCPI"
23,0.2936261284,0.205203095238095,0.0884230331619048,0.250686,2009.875,2009,1.543,0.250469143598616,1.75022,"PRCCPI"
24,1.21776396775714,0.336540773809524,0.881223193947619,0.424771173469388,2009.875,2010,1.53607142857143,0.42440372435739,0.64557,"PRCCPI"
25,1.1816767249,0.322399519230769,0.859277205669231,0.304559467455622,2010.125,2010,1.58211538461538,0.304348553696995,0.64557,"PRCCPI"
26,0.512343129505263,0.436203015350877,0.0761401141543858,0.361642663608033,2010.125,2011,1.78611842105263,0.361378498039291,2.17432,"PRCCPI"
27,0.735385726166447,0.349315995202851,0.386069730963596,0.326132095016014,2010.375,2010,1.28529934210526,0.32589386850395,0.64557,"PRCCPI"
28,0.752390214202631,0.416036883179825,0.336353331022807,0.481940675091759,2010.375,2011,1.65427236842105,0.481588636614701,2.17432,"PRCCPI"
29,0.30137630975,0.285165224916667,0.0162110848333334,0.192356376747222,2010.625,2010,0.975751666666667,0.192127653350377,0.64557,"PRCCPI"
30,0.699770964675862,0.390253497356322,0.30951746731954,0.262659393555291,2010.625,2011,1.51317586206897,0.262324368818614,2.17432,"PRCCPI"
31,0.2615694061875,0.205685314854167,0.0558840913333334,0.109472331173437,2010.875,2010,1.03556625,0.109400357254191,0.64557,"PRCCPI"
32,0.874607203275,0.393644933118229,0.48096227015677,0.343282836875,2010.875,2011,1.4454,0.343057141387245,2.17432,"PRCCPI"
33,0.940594332291892,0.312481131261261,0.62811320103063,0.373392385069394,2011.125,2011,1.42119189189189,0.373104273661161,2.17432,"PRCCPI"
34,0.257306121111111,0.492555206666667,-0.235249085555555,0.223074954166667,2011.125,2012,1.76398333333333,0.222892852163265,1.949,"PRCCPI"
35,0.415651565233333,0.2952580725,0.120393492733333,0.226092434529321,2011.375,2011,1.73893611111111,0.225907869276644,2.17432,"PRCCPI"
